[scau-mall-web] 22:09:09.478 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.532 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.541 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientLoanRecordMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientLoanRecordMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.548 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientLoanRecordMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientLoanRecordMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.556 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.675 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.683 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientLoanRecordMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientLoanRecordMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.689 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientLoanRecordMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientLoanRecordMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.696 [main] WARN  org.springframework.beans.factory.support.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'pmsClientMapper' defined in file [D:\workspace-xrk\scau-mall\scau-mall\scau-mall-service\target\classes\org\scau\mall\dao\PmsClientMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mybatisConfig': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dynamicDataSourceConfig': Unsatisfied dependency expressed through field 'druidDataSourceConfig'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'druidDataSourceConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mysql.host' in value "jdbc:mysql://${mysql.host}/${mysql.database}?useUnicode=true&characterEncoding=utf8&ApplicationName=xrk-mall-drp"
[scau-mall-web] 22:09:09.709 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [org.scau.mall.config.redis.RedisConfig$$EnhancerBySpringCGLIB$$1a200ac8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
